INFO 2025-08-03 15:14:45,437 autoreload 3216 14028 Watching for file changes with StatReloader
WARNING 2025-08-03 15:17:54,575 log 3216 6976 Unauthorized: /api/admin/login/
WARNING 2025-08-03 15:17:54,575 basehttp 3216 6976 "POST /api/admin/login/ HTTP/1.1" 401 58
INFO 2025-08-03 15:18:06,550 autoreload 3216 14028 D:\projects\Inventory\Inv\inventory_project\inventory_project\settings.py changed, reloading.
INFO 2025-08-03 15:18:08,241 autoreload 9104 1304 Watching for file changes with StatReloader
INFO 2025-08-03 15:21:49,206 autoreload 9104 1304 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:21:50,701 autoreload 6796 15620 Watching for file changes with StatReloader
INFO 2025-08-03 15:22:22,327 autoreload 6796 15620 D:\projects\Inventory\Inv\inventory_project\inventory\serializers.py changed, reloading.
INFO 2025-08-03 15:22:24,126 autoreload 8528 17100 Watching for file changes with StatReloader
INFO 2025-08-03 15:25:00,167 basehttp 8528 13812 "OPTIONS /api/products/ HTTP/1.1" 200 0
INFO 2025-08-03 15:25:00,167 basehttp 8528 15356 "OPTIONS /api/customers/ HTTP/1.1" 200 0
INFO 2025-08-03 15:25:00,206 basehttp 8528 4676 "OPTIONS /api/sales/ HTTP/1.1" 200 0
INFO 2025-08-03 15:25:00,225 basehttp 8528 16076 "OPTIONS /api/products/ HTTP/1.1" 200 0
INFO 2025-08-03 15:25:00,240 basehttp 8528 7164 "OPTIONS /api/customers/ HTTP/1.1" 200 0
INFO 2025-08-03 15:25:00,291 basehttp 8528 1436 "OPTIONS /api/sales/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:25:00,396 log 8528 15356 Unauthorized: /api/customers/
WARNING 2025-08-03 15:25:00,439 log 8528 13812 Unauthorized: /api/products/
WARNING 2025-08-03 15:25:00,440 log 8528 4676 Unauthorized: /api/sales/
WARNING 2025-08-03 15:25:00,442 basehttp 8528 15356 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:00,443 basehttp 8528 13812 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:00,456 basehttp 8528 4676 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:00,485 log 8528 15356 Unauthorized: /api/products/
WARNING 2025-08-03 15:25:00,490 log 8528 13812 Unauthorized: /api/customers/
WARNING 2025-08-03 15:25:00,502 log 8528 4676 Unauthorized: /api/sales/
WARNING 2025-08-03 15:25:00,505 basehttp 8528 15356 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:00,505 basehttp 8528 13812 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:00,512 basehttp 8528 4676 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:11,226 log 8528 4676 Unauthorized: /api/products/
WARNING 2025-08-03 15:25:11,226 basehttp 8528 4676 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:11,226 log 8528 4676 Unauthorized: /api/customers/
WARNING 2025-08-03 15:25:11,238 log 8528 13812 Unauthorized: /api/sales/
WARNING 2025-08-03 15:25:11,238 basehttp 8528 4676 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:11,246 basehttp 8528 13812 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:32,779 log 8528 13812 Unauthorized: /api/products/
WARNING 2025-08-03 15:25:32,779 basehttp 8528 13812 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:32,800 log 8528 4676 Unauthorized: /api/sales/
WARNING 2025-08-03 15:25:32,800 log 8528 13812 Unauthorized: /api/customers/
WARNING 2025-08-03 15:25:32,806 basehttp 8528 4676 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:32,808 basehttp 8528 13812 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:45,639 log 8528 13812 Unauthorized: /api/products/
WARNING 2025-08-03 15:25:45,670 basehttp 8528 13812 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:46,581 log 8528 4676 Unauthorized: /api/sales/
WARNING 2025-08-03 15:25:46,581 log 8528 13812 Unauthorized: /api/customers/
WARNING 2025-08-03 15:25:46,621 basehttp 8528 4676 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:25:46,639 basehttp 8528 13812 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:26:01,542 log 8528 13812 Unauthorized: /api/products/
WARNING 2025-08-03 15:26:01,542 basehttp 8528 13812 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:26:01,567 log 8528 13812 Unauthorized: /api/customers/
WARNING 2025-08-03 15:26:01,567 basehttp 8528 13812 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:26:01,730 log 8528 13812 Unauthorized: /api/sales/
WARNING 2025-08-03 15:26:01,730 basehttp 8528 13812 "GET /api/sales/ HTTP/1.1" 401 27
